seed: 0 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 1 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 2 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 3 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 4 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 5 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 6 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 7 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 8 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 9 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 10 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 11 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 12 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 13 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 14 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 15 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 16 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 17 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 18 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 19 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 20 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 21 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 22 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 23 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 24 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 25 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 26 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 27 - result: [[[5, 1, 4, 3, 2], 3], 7] 
seed: 28 - result: [[[5, 1, 4, 3, 2], 3], 7]
seed: 29 - result: [[[5, 1, 4, 3, 2], 3], 7]

7
