seed: 0 - result: [[[4, 6, 2, 3, 10, 9, 1, 7, 8, 5], 6], 13] 
seed: 1 - result: [[[6, 2, 1, 3, 7, 10, 5, 4, 9, 8], 6], 13] 
seed: 2 - result: [[[6, 10, 9, 1, 3, 2, 4, 8, 7, 5], 6], 13] 
seed: 3 - result: [[[6, 5, 2, 3, 10, 7, 8, 1, 4, 9], 6], 13] 
seed: 4 - result: [[[2, 3, 5, 10, 4, 1, 7, 9, 8, 6], 3], 13] 
seed: 5 - result: [[[6, 3, 1, 10, 8, 4, 7, 5, 2, 9], 6], 13] 
seed: 6 - result: [[[6, 4, 3, 1, 9, 8, 7, 5, 10, 2], 6], 13] 
seed: 7 - result: [[[6, 2, 7, 8, 3, 9, 10, 5, 1, 4], 6], 13] 
seed: 8 - result: [[[2, 6, 8, 3, 9, 4, 5, 10, 1, 4], 4], 7] 
seed: 9 - result: [[[6, 5, 7, 3, 4, 8, 2, 9, 1, 10], 6], 13] 
seed: 10 - result: [[[2, 6, 8, 3, 9, 4, 10, 5, 7, 1], 4], 7] 
seed: 11 - result: [[[6, 8, 5, 2, 1, 9, 3, 10, 7, 4], 6], 13] 
seed: 12 - result: [[[6, 9, 8, 1, 5, 10, 4, 3, 2, 7], 6], 13] 
seed: 13 - result: [[[4, 6, 7, 2, 5, 8, 9, 10, 1, 3], 6], 13] 
seed: 14 - result: [[[2, 6, 8, 3, 9, 4, 1, 7, 10, 5], 4], 7] 
seed: 15 - result: [[[6, 8, 4, 3, 10, 5, 9, 2, 1, 7], 6], 13] 
seed: 16 - result: [[[2, 6, 8, 3, 9, 4, 7, 10, 5, 1], 4], 7] 
seed: 17 - result: [[[4, 6, 8, 10, 7, 5, 1, 2, 3, 9], 6], 13] 
seed: 18 - result: [[[6, 1, 5, 3, 7, 2, 8, 4, 9, 10], 6], 13] 
seed: 19 - result: [[[6, 8, 9, 10, 5, 3, 4, 2, 1, 7], 6], 13] 
seed: 20 - result: [[[2, 3, 1, 6, 4, 9, 8, 7, 5, 10], 3], 13] 
seed: 21 - result: [[[2, 3, 8, 4, 6, 7, 1, 5, 9, 10], 3], 13] 
seed: 22 - result: [[[6, 2, 3, 1, 7, 8, 10, 9, 4, 5], 6], 13] 
seed: 23 - result: [[[2, 6, 8, 3, 9, 4, 1, 5, 7, 10], 4], 7] 
seed: 24 - result: [[[4, 6, 5, 8, 9, 1, 10, 3, 7, 2], 6], 13] 
seed: 25 - result: [[[6, 2, 4, 9, 1, 3, 10, 8, 7, 5], 6], 13] 
seed: 26 - result: [[[6, 9, 2, 10, 3, 5, 4, 1, 8, 7], 6], 13] 
seed: 27 - result: [[[4, 6, 7, 2, 9, 8, 1, 3, 10, 5], 6], 13] 
seed: 28 - result: [[[6, 2, 7, 4, 1, 9, 8, 5, 3, 10], 6], 13] 
seed: 29 - result: [[[6, 9, 10, 8, 5, 1, 2, 4, 3, 7], 6], 13] 

11,33

