seed: 0 - result: (13, [[[2, 3, 9, 5, 10, 7, 8, 4, 1, 6], 3], 13]) 
seed: 1 - result: (13, [[[6, 3, 10, 7, 5, 1, 4, 9, 8, 2], 6], 13]) 
seed: 2 - result: (13, [[[2, 3, 5, 4, 8, 1, 6, 7, 10, 9], 3], 13]) 
seed: 3 - result: (13, ([[6, 5, 2, 3, 10, 7, 8, 1, 4, 9], 6], 13)) 
seed: 4 - result: (21, [[[10, 9, 4, 5, 1, 7, 3, 2, 6, 8], 10], 13]) 
seed: 5 - result: (13, [[[6, 10, 3, 2, 8, 5, 1, 9, 7, 4], 6], 13]) 
seed: 6 - result: (13, [[[6, 2, 1, 9, 8, 7, 3, 5, 4, 10], 6], 13]) 
seed: 7 - result: (13, [[[6, 9, 3, 1, 2, 10, 8, 4, 7, 5], 6], 13]) 
seed: 8 - result: (13, [[[6, 3, 1, 10, 9, 7, 8, 2, 5, 4], 6], 13]) 
seed: 9 - result: (21, [[[10, 9, 4, 5, 8, 2, 3, 1, 7, 6], 10], 13]) 
seed: 10 - result: (13, [[[6, 9, 3, 7, 2, 4, 1, 8, 5, 10], 6], 13]) 
seed: 11 - result: (13, [[[6, 3, 8, 9, 7, 5, 2, 4, 1, 10], 6], 13]) 
seed: 12 - result: (13, ([[6, 9, 8, 1, 5, 10, 4, 3, 2, 7], 6], 13)) 
seed: 13 - result: (13, ([[4, 6, 7, 2, 5, 8, 9, 10, 1, 3], 6], 13)) 
seed: 14 - result: (13, [[[6, 10, 4, 1, 5, 3, 9, 7, 8, 2], 6], 13]) 
seed: 15 - result: (13, [[[2, 3, 7, 4, 8, 1, 6, 5, 10, 9], 3], 13]) 
seed: 16 - result: (13, [[[2, 3, 1, 7, 8, 5, 9, 4, 6, 10], 3], 13]) 
seed: 17 - result: (13, [[[6, 8, 3, 4, 5, 1, 10, 9, 7, 2], 6], 13]) 
seed: 18 - result: (13, [[[2, 3, 5, 1, 8, 10, 7, 6, 9, 4], 3], 13]) 
seed: 19 - result: (13, [[[6, 2, 8, 10, 7, 9, 3, 1, 4, 5], 6], 13]) 
seed: 20 - result: (13, [[[2, 3, 10, 8, 9, 7, 1, 6, 5, 4], 3], 13]) 
seed: 21 - result: (13, ([[2, 3, 8, 4, 6, 7, 1, 5, 9, 10], 3], 13)) 
seed: 22 - result: (13, [[[2, 3, 10, 7, 9, 1, 8, 4, 5, 6], 3], 13]) 
seed: 23 - result: (13, ([[6, 9, 3, 10, 5, 8, 2, 1, 7, 4], 6], 13)) 
seed: 24 - result: (13, [[[6, 2, 10, 4, 1, 7, 8, 9, 5, 3], 6], 13]) 
seed: 25 - result: (13, ([[6, 2, 4, 9, 1, 3, 10, 8, 7, 5], 6], 13)) 
seed: 26 - result: (13, [[[2, 3, 5, 10, 9, 8, 4, 7, 1, 6], 3], 13]) 
seed: 27 - result: (13, [[[6, 5, 7, 2, 10, 3, 8, 1, 9, 4], 6], 13]) 
seed: 28 - result: (13, [[[2, 3, 10, 6, 7, 5, 1, 4, 8, 9], 3], 13]) 
seed: 29 - result: (13, [[[6, 2, 9, 7, 4, 5, 10, 3, 1, 8], 6], 13]) 
